phenomenon_id,phenomenon,description,typical_frequency,related_scene,primary_path,typical_cause
NV01,ロードノイズ,路面入力に起因する連続的な車内騒音,100-1000Hz,粗粒路/高速巡航,空気伝搬+構造伝搬,タイヤ/ホイールハウス/ボディパネル
NV02,低周波こもり,車室内に圧迫感を与える低周波音,20-250Hz,荒れ路/加速/後席,構造伝搬,タイヤ/サスペンション/サブフレーム/ボディ
NV03,ハーシュネス,段差や突起入力時の突き上げ・衝撃感,時間応答/低中周波,段差通過,構造伝搬,タイヤ/ブッシュ/ダンパー
NV04,風切り音,空力・シール・外装形状に起因する騒音,中高周波,高速巡航,空気伝搬,ミラー/ピラー/ドアシール/ガラス
NV05,モーター音,電動モーターの電磁音・機械音,高周波/特定次数,加速/定常,構造伝搬+空気伝搬,モーター/マウント/ギヤ
NV06,ギヤ音,変速機・減速機の噛み合い音,高周波/次数成分,加速/定常,構造伝搬,ギヤ/ベアリング/ドライブシャフト
NV07,異音（きしみ），内外装や締結部のきしみ・こすれ音,低周波〜中周波/不規則,低速/荒れ路/温度変化,接触伝搬,内装トリム/締結部/シール
NV08,異音（びびり），パネルや部品の共振によるびびり音,特定周波数,加速/特定車速,構造伝搬,パネル/ブラケット/熱変形部
NV09,ブレーキ鳴き,制動時のブレーキパッド・ディスク共振,高周波,制動時,構造伝搬,ブレーキパッド/ディスク/キャリパー
NV10,加速騒音,駆動系加速時の騒音・振動,中高周波/次数,加速中,構造伝搬+空気伝搬,パワートレーン/マウント/排気系
